# HSK 3.0 Level 1 Vocabulary
# Source: Wiktionary - https://en.wiktionary.org/wiki/Appendix:HSK_list_of_Mandarin_words_v3.0/level_1
# License: CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/)
# Format: chinese,pinyin,english
爱,ài,TODO
吧,ba,TODO
八,bā,TODO
白,bái,TODO
百,bǎi,TODO
班,bān,TODO
半,bàn,TODO
帮,bāng,TODO
包,bāo,TODO
杯,bēi,TODO
北,běi,TODO
本,běn,TODO
比,bǐ,TODO
别,bié,TODO
病,bìng,TODO
不,bù,TODO
菜,cài,TODO
茶,chá,TODO
差,chà,TODO
常,cháng,TODO
唱,chàng,TODO
车,chē,TODO
吃,chī,TODO
出,chū,TODO
穿,chuān,TODO
床,chuáng,TODO
次,cì,TODO
从,cóng,TODO
错,cuò,TODO
打,dǎ,TODO
大,dà,TODO
到,dào,TODO
地,de,TODO
的,de,TODO
等,děng,TODO
地,dì,TODO
第,dì,TODO
点,diǎn,TODO
电,diàn,TODO
东,dōng,TODO
动,dòng,TODO
都,dōu,TODO
读,dú,TODO
对,duì,TODO
多,duō,TODO
饿,è,TODO
二,èr,TODO
饭,fàn,TODO
放,fàng,TODO
飞,fēi,TODO
分,fēn,TODO
风,fēng,TODO
干,gān,TODO
干,gàn,TODO
高,gāo,TODO
歌,gē,TODO
个,gè,TODO
给,gěi,TODO
跟,gēn,TODO
关,guān,TODO
贵,guì,TODO
国,guó,TODO
过,guò,TODO
还,hái,TODO
好,hǎo,TODO
号,hào,TODO
喝,hē,TODO
和,hé,TODO
很,hěn,TODO
后,hòu,TODO
花,huā,TODO
话,huà,TODO
坏,huài,TODO
还,huán,TODO
回,huí,TODO
会,huì,TODO
几,jǐ,TODO
记,jì,TODO
家,jiā,TODO
间,jiān,TODO
见,jiàn,TODO
教,jiāo,TODO
叫,jiào,TODO
进,jìn,TODO
九,jiǔ,TODO
就,jiù,TODO
开,kāi,TODO
看,kàn,TODO
考,kǎo,TODO
渴,kě,TODO
课,kè,TODO
口,kǒu,TODO
块,kuài,TODO
快,kuài,TODO
来,lái,TODO
老,lǎo,TODO
了,le,TODO
累,lèi,TODO
冷,lěng,TODO
里,lǐ,TODO
两,liǎng,TODO
零/〇,líng,TODO
六,liù,TODO
楼,lóu,TODO
路,lù,TODO
吗,ma,TODO
买,mǎi,TODO
慢,màn,TODO
忙,máng,TODO
毛,máo,TODO
没,méi,TODO
们,men,TODO
门,mén,TODO
拿,ná,TODO
哪,nǎ,TODO
哪儿,nǎr,TODO
那,nà,TODO
那儿,nàr,TODO
奶,nǎi,TODO
南,nán,TODO
男,nán,TODO
难,nán,TODO
呢,ne,TODO
能,néng,TODO
你,nǐ,TODO
年,nián,TODO
您,nín,TODO
女,nǚ,TODO
跑,pǎo,TODO
票,piào,TODO
七,qī,TODO
起,qǐ,TODO
前,qián,TODO
钱,qián,TODO
请,qǐng,TODO
球,qiú,TODO
去,qù,TODO
热,rè,TODO
